
=== Balance audit: 200,000 games (0 skipped) ===

Hero          Wins  Losses   Games       WR
ASTRID       18768   25886   44654    42.0%
DES          18824   25910   44734    42.1%
ANDERS       19380   25257   44637    43.4%
AVA          21244   23204   44448    47.8%
LUCAS        21470   22885   44355    48.4%
JIMMY        22743   21398   44141    51.5%
TALA         23721   20771   44492    53.3%
IZZY         26272   18092   44364    59.2%
DEREK        27578   16597   44175    62.4%

=== Matchup matrix — row wins vs col (row WR%) ===

            DER   TAL   JIM   AND   DES   AST   AVA   LUC   IZZ
DEREK        50    61    64    69    68    67    63    64    56
TALA         39    50    54    60    56    58    59    56    47
JIMMY        36    46    50    57    65    62    51    53    43
ANDERS       31    40    43    50    46    52    47    50    31
DES          32    44    35    54    50    46    48    35    35
ASTRID       33    42    38    48    54    50    40    42    31
AVA          37    41    49    53    52    60    50    51    37
LUCAS        36    44    47    50    65    58    49    50    37
IZZY         44    53    57    69    65    69    63    63    50

=== Worst matchups (WR >=70% or <=30%, min 50 games) ===


=== Per-card winrate (200,000 games w/ card manifest) ===


-- DEREK --
Card               Wins  Plays      WR
NEU106              245    271   90.4%
NEU107              227    257   88.3%
NEU108              207    253   81.8%
NEU104              211    264   79.9%
DRK032             2377   3037   78.3%
...
NEU083             2119   4250   49.9%
DRK033             2102   4226   49.7%
NEU090             1985   4134   48.0%
NEU065             1910   4143   46.1%
NEU_TOKEN_MECH_11    115    250   46.0%

-- TALA --
Card               Wins  Plays      WR
NEU106              345    383   90.1%
NEU107              334    379   88.1%
NEU104              340    418   81.3%
NEU105              323    416   77.6%
TAL037              927   1194   77.6%
...
TAL018             9119  20604   44.3%
NEU092             4577  10923   41.9%
NEU100             4601  11145   41.3%
NEU090             4298  11232   38.3%
NEU065             3696   9684   38.2%

-- JIMMY --
Card               Wins  Plays      WR
NEU106              270    293   92.2%
NEU107              277    313   88.5%
NEU104              278    366   76.0%
NEU108              194    273   71.1%
NEU102              572    815   70.2%
...
JIM038             7909  18400   43.0%
NEU069             4251  10202   41.7%
NEU083             2320   5684   40.8%
NEU090             2107   5392   39.1%
NEU065             2065   5335   38.7%

-- ANDERS --
Card               Wins  Plays      WR
NEU107              363    406   89.4%
NEU106              362    414   87.4%
NEU104              371    493   75.3%
AND040             3521   4733   74.4%
NEU108              278    390   71.3%
...
AND039             2034   6121   33.2%
NEU092             3181   9855   32.3%
NEU100             3453  11678   29.6%
NEU090             2926  10161   28.8%
NEU065             3260  11720   27.8%

-- DES --
Card               Wins  Plays      WR
NEU106              182    198   91.9%
NEU107              144    172   83.7%
DES_COLLAR_03      4295   5140   83.6%
NEU099             3172   3902   81.3%
NEU105              169    220   76.8%
...
NEU089             2707   6872   39.4%
NEU100             2521   6702   37.6%
NEU092             2371   6463   36.7%
NEU090             2392   6598   36.3%
NEU065             2389   6664   35.8%

-- ASTRID --
Card               Wins  Plays      WR
NEU106              299    341   87.7%
NEU107              270    328   82.3%
NEU108              233    331   70.4%
NEU105              249    366   68.0%
NEU104              268    395   67.8%
...
NEU083             1990   5980   33.3%
NEU111             1808   5507   32.8%
AST_S02            5334  16767   31.8%
NEU065             3301  10436   31.6%
NEU090             3269  10564   30.9%

-- AVA --
Card               Wins  Plays      WR
NEU107              433    503   86.1%
NEU106              408    477   85.5%
NEU108              347    491   70.7%
NEU105              416    596   69.8%
NEU102              876   1287   68.1%
...
NEU089             3422   8341   41.0%
NEU092             3429   8549   40.1%
NEU100             3295   8409   39.2%
NEU083             3537   9119   38.8%
NEU065             3233   8614   37.5%

-- LUCAS --
Card               Wins  Plays      WR
NEU106              274    303   90.4%
NEU107              298    348   85.6%
NEU104              235    321   73.2%
NEU102              571    827   69.0%
NEU105              218    317   68.8%
...
NEU083             1703   4817   35.4%
LUC_ORB_WATER      4001  11345   35.3%
LUC_ORB_HEALING    3962  11293   35.1%
LUC049             1470   4270   34.4%
NEU090             1371   4350   31.5%

-- IZZY --
Card               Wins  Plays      WR
NEU106              348    380   91.6%
NEU107              330    374   88.2%
NEU108              301    363   82.9%
NEU105              342    415   82.4%
NEU104              340    424   80.2%
...
NEU069             3541   6624   53.5%
NEU111             3676   6961   52.8%
NEU090             6136  12177   50.4%
NEU083             3649   7251   50.3%
NEU065             6056  12115   50.0%
