
=== Balance audit: 30,000 games (0 skipped) ===

Hero          Wins  Losses   Games       WR
DES           2628    4012    6640    39.6%
ANDERS        2752    3942    6694    41.1%
ASTRID        2687    3848    6535    41.1%
LUCAS         3271    3406    6677    49.0%
JIMMY         3321    3261    6582    50.5%
TALA          3555    3227    6782    52.4%
AVA           3701    3098    6799    54.4%
IZZY          3982    2667    6649    59.9%
DEREK         4103    2539    6642    61.8%

=== Matchup matrix — row wins vs col (row WR%) ===

            DER   TAL   JIM   AND   DES   AST   AVA   LUC   IZZ
DEREK        50    62    67    71    67    68    53    62    56
TALA         38    50    55    61    58    57    50    55    48
JIMMY        33    45    50    58    69    64    44    52    41
ANDERS       29    39    42    50    46    49    37    49    30
DES          33    42    31    54    50    45    38    31    32
ASTRID       32    43    36    51    55    50    33    41    28
AVA          47    50    56    63    62    67    50    55    40
LUCAS        38    45    48    51    69    59    45    50    36
IZZY         44    52    59    70    68    72    60    64    50

=== Worst matchups (WR >=70% or <=30%, min 50 games) ===

  IZZY       vs ASTRID    :  540/748   (72.2%)
  DEREK      vs ANDERS    :  545/764   (71.3%)
  ANDERS     vs DEREK     :  219/764   (28.7%)
  ASTRID     vs IZZY      :  208/748   (27.8%)

=== Per-card winrate (30,000 games w/ card manifest) ===


-- DEREK --
Card               Wins  Plays      WR
DRK060              583    766   76.1%
DRK032              321    422   76.1%
NEU099              452    610   74.1%
DRK019              654    890   73.5%
NEU077              276    380   72.6%
...
NEU111              316    639   49.5%
NEU065              301    611   49.3%
NEU083              335    684   49.0%
DRK033              286    605   47.3%
NEU090              306    660   46.4%

-- TALA --
Card               Wins  Plays      WR
NEU103               93    122   76.2%
TAL037              130    173   75.1%
NEU102               92    125   73.6%
NEU077              365    500   73.0%
TAL029              846   1163   72.7%
...
NEU083              409    972   42.1%
NEU100              704   1688   41.7%
NEU092              677   1631   41.5%
NEU065              549   1451   37.8%
NEU090              621   1695   36.6%

-- JIMMY --
Card               Wins  Plays      WR
NEU103               90    127   70.9%
NEU102               74    111   66.7%
NEU066              402    609   66.0%
NEU076              332    507   65.5%
NEU077              322    492   65.4%
...
JIM038             1130   2703   41.8%
NEU083              356    880   40.5%
NEU069              609   1516   40.2%
NEU065              300    757   39.6%
NEU090              309    814   38.0%

-- ANDERS --
Card               Wins  Plays      WR
NEU076              343    547   62.7%
AND032              759   1212   62.6%
NEU077              341    545   62.6%
AND040              442    707   62.5%
NEU097              249    405   61.5%
...
AND039              298    918   32.5%
NEU092              459   1511   30.4%
NEU100              510   1745   29.2%
NEU090              391   1483   26.4%
NEU065              441   1775   24.8%

-- DES --
Card               Wins  Plays      WR
DES_COLLAR_03       591    697   84.8%
NEU099              464    597   77.7%
DES038              421    574   73.3%
NEU097              456    639   71.4%
DES031              328    465   70.5%
...
NEU092              352    957   36.8%
NEU111              371   1009   36.8%
NEU100              341    966   35.3%
NEU065              318    935   34.0%
NEU090              284    896   31.7%

-- ASTRID --
Card               Wins  Plays      WR
NEU103               88    123   71.5%
AST041              470    691   68.0%
NEU102               86    138   62.3%
AST031              924   1495   61.8%
NEU077              276    452   61.1%
...
NEU111              264    794   33.2%
NEU100              494   1496   33.0%
NEU065              474   1559   30.4%
NEU090              448   1537   29.1%
AST_S02             697   2409   28.9%

-- AVA --
Card               Wins  Plays      WR
NEU103              144    185   77.8%
AVA038              697    965   72.2%
NEU063              384    562   68.3%
NEU102              132    195   67.7%
NEU066              733   1083   67.7%
...
NEU090              888   1883   47.2%
NEU083              638   1363   46.8%
NEU092              575   1276   45.1%
NEU100              594   1338   44.4%
NEU065              565   1324   42.7%

-- LUCAS --
Card               Wins  Plays      WR
NEU102               90    132   68.2%
NEU077              288    426   67.6%
LUC044              420    625   67.2%
LUC043              390    586   66.6%
NEU099              151    227   66.5%
...
NEU100              244    650   37.5%
NEU083              282    752   37.5%
LUC_ORB_HEALING     637   1733   36.8%
NEU090              227    652   34.8%
LUC049              214    632   33.9%

-- IZZY --
Card               Wins  Plays      WR
NEU102              126    152   82.9%
IZZ043              330    417   79.1%
NEU063              361    475   76.0%
NEU103              101    133   75.9%
NEU076              477    630   75.7%
...
IZZ021             1717   3214   53.4%
NEU111              545   1034   52.7%
NEU083              573   1099   52.1%
NEU065              911   1836   49.6%
NEU090              848   1797   47.2%
