
=== Balance audit: 500,000 games (0 skipped) ===

Hero          Wins  Losses   Games       WR
DES          38539   72185  110724    34.8%
ASTRID       44007   67254  111261    39.6%
ANDERS       48787   62791  111578    43.7%
LUCAS        52986   57800  110786    47.8%
JIMMY        56001   54466  110467    50.7%
TALA         57623   54257  111880    51.5%
AVA          60155   50803  110958    54.2%
IZZY         65681   45061  110742    59.3%
DEREK        76221   35383  111604    68.3%

=== Matchup matrix — row wins vs col (row WR%) ===

            DER   TAL   JIM   AND   DES   AST   AVA   LUC   IZZ
DEREK        50    69    72    76    78    75    63    70    61
TALA         31    50    52    58    60    60    50    57    45
JIMMY        28    48    50    57    75    62    45    52    41
ANDERS       24    42    43    50    55    53    40    50    36
DES          22    40    25    45    50    46    29    30    25
ASTRID       25    40    38    47    54    50    33    39    30
AVA          37    50    55    60    71    67    50    56    42
LUCAS        30    43    48    50    70    61    44    50    35
IZZY         39    55    59    64    75    70    58    65    50

=== Worst matchups (WR >=70% or <=30%, min 50 games) ===

  DEREK      vs DES       : 9825/12557 (78.2%)
  DEREK      vs ANDERS    : 9469/12533 (75.6%)
  DEREK      vs ASTRID    : 9145/12171 (75.1%)
  JIMMY      vs DES       : 9081/12127 (74.9%)
  IZZY       vs DES       : 9168/12284 (74.6%)
  DEREK      vs JIMMY     : 8863/12317 (72.0%)
  AVA        vs DES       : 8684/12314 (70.5%)
  DEREK      vs LUCAS     : 8742/12444 (70.3%)
  IZZY       vs ASTRID    : 8632/12315 (70.1%)
  ASTRID     vs IZZY      : 3683/12315 (29.9%)
  LUCAS      vs DEREK     : 3702/12444 (29.7%)
  DES        vs AVA       : 3630/12314 (29.5%)
  JIMMY      vs DEREK     : 3454/12317 (28.0%)
  DES        vs IZZY      : 3116/12284 (25.4%)
  DES        vs JIMMY     : 3046/12127 (25.1%)
  ASTRID     vs DEREK     : 3026/12171 (24.9%)
  ANDERS     vs DEREK     : 3064/12533 (24.4%)
  DES        vs DEREK     : 2732/12557 (21.8%)

=== Per-card winrate (500,000 games w/ card manifest) ===


-- DEREK --
Card               Wins  Plays      WR
NEU106              516    560   92.1%
NEU107              415    462   89.8%
DRK032            15750  19054   82.7%
DRK028            13869  16915   82.0%
NEU099             7830   9559   81.9%
...
DRK035            14688  26414   55.6%
DRK030            15363  27643   55.6%
NEU083             5682  10231   55.5%
NEU065             4913   9194   53.4%
NEU090             5104   9650   52.9%

-- TALA --
Card               Wins  Plays      WR
NEU107              685    773   88.6%
NEU106              714    812   87.9%
TAL037             1995   2650   75.3%
NEU105              709    965   73.5%
NEU108              577    797   72.4%
...
TAL030            19447  43473   44.7%
NEU100            11711  26586   44.0%
NEU083             6742  15558   43.3%
NEU065             9028  21890   41.2%
NEU090            11274  27523   41.0%

-- JIMMY --
Card               Wins  Plays      WR
NEU106              527    582   90.5%
NEU107              510    567   89.9%
NEU105              567    785   72.2%
NEU108              419    582   72.0%
NEU104              504    741   68.0%
...
JIM034            17988  40970   43.9%
NEU069            10656  24290   43.9%
NEU083             6053  14319   42.3%
NEU090             5491  13274   41.4%
NEU065             5148  12522   41.1%

-- ANDERS --
Card               Wins  Plays      WR
NEU106              782    871   89.8%
NEU107              669    775   86.3%
NEU108              597    833   71.7%
NEU105              708    989   71.6%
NEU104              662    953   69.5%
...
NEU092             8718  24003   36.3%
AND039             4869  14228   34.2%
NEU100             9604  28125   34.1%
NEU090             7998  24931   32.1%
NEU065             8627  27487   31.4%

-- DES --
Card               Wins  Plays      WR
NEU106              359    448   80.1%
NEU107              326    408   79.9%
NEU108              274    414   66.2%
NEU105              368    557   66.1%
DES_COLLAR_03      5858   8921   65.7%
...
NEU092             5018  15106   33.2%
NEU083             4728  14380   32.9%
NEU065             4624  14879   31.1%
NEU090             4826  15728   30.7%
DES023             5246  18623   28.2%

-- ASTRID --
Card               Wins  Plays      WR
NEU106              625    732   85.4%
NEU107              578    681   84.9%
NEU108              445    633   70.3%
NEU105              609    886   68.7%
NEU104              573    845   67.8%
...
NEU090             8423  26204   32.1%
AST030            11775  36982   31.8%
AST035            11586  36604   31.7%
NEU083             4653  14802   31.4%
AST_S02           12834  41226   31.1%

-- AVA --
Card               Wins  Plays      WR
NEU106              879    967   90.9%
NEU107              805    925   87.0%
AVA038            10729  14700   73.0%
NEU105              840   1165   72.1%
AVA021            21098  29838   70.7%
...
NEU100             8880  18256   48.6%
AVA027            26867  56326   47.7%
NEU069             9352  20226   46.2%
NEU083            10001  21905   45.7%
NEU065             9027  19867   45.4%

-- LUCAS --
Card               Wins  Plays      WR
NEU106              572    647   88.4%
NEU107              512    631   81.1%
NEU105              558    781   71.4%
LUC030             9943  14029   70.9%
NEU108              409    603   67.8%
...
LUC026            10778  29372   36.7%
LUC_ORB_AIR        9433  25730   36.7%
LUC049             3677  10255   35.9%
NEU083             4151  11921   34.8%
NEU090             3601  10478   34.4%

-- IZZY --
Card               Wins  Plays      WR
NEU106              834    940   88.7%
NEU107              668    757   88.2%
IZZ043             9503  11985   79.3%
NEU108              587    766   76.6%
NEU104              665    870   76.4%
...
IZZ032            19906  38171   52.1%
NEU069             7629  14782   51.6%
NEU090            14237  28545   49.9%
NEU083             8310  16700   49.8%
NEU065            13498  27313   49.4%
