
=== Balance audit: 15,513 games (0 skipped) ===

Hero          Wins  Losses   Games       WR
DES           1349    2087    3436    39.3%
ASTRID        1329    2020    3349    39.7%
ANDERS        1428    2020    3448    41.4%
LUCAS         1701    1791    3492    48.7%
JIMMY         1730    1671    3401    50.9%
TALA          1774    1610    3384    52.4%
AVA           2009    1511    3520    57.1%
IZZY          2102    1407    3509    59.9%
DEREK         2091    1396    3487    60.0%

=== Matchup matrix — row wins vs col (row WR%) ===

            DER   TAL   JIM   AND   DES   AST   AVA   LUC   IZZ
DEREK        50    59    62    69    70    70    48    62    53
TALA         41    50    46    59    65    55    50    58    48
JIMMY        38    54    50    61    68    63    38    51    37
ANDERS       31    41    39    50    46    51    36    50    29
DES          30    35    32    54    50    48    37    31    37
ASTRID       30    45    37    49    52    50    30    43    24
AVA          52    50    62    64    63    70    50    63    41
LUCAS        38    42    49    50    69    57    37    50    42
IZZY         47    52    63    71    63    76    59    58    50

=== Worst matchups (WR >=70% or <=30%, min 50 games) ===

  IZZY       vs ASTRID    :  309/409   (75.6%)
  IZZY       vs ANDERS    :  276/391   (70.6%)
  AVA        vs ASTRID    :  275/392   (70.2%)
  ASTRID     vs AVA       :  117/392   (29.8%)
  ANDERS     vs IZZY      :  115/391   (29.4%)
  ASTRID     vs IZZY      :  100/409   (24.4%)

=== Per-card winrate (15,513 games w/ card manifest) ===


-- DEREK --
Card               Wins  Plays      WR
DRK032              174    218   79.8%
DRK042              331    440   75.2%
NEU066              187    257   72.8%
NEU063              104    144   72.2%
DRK060              295    415   71.1%
...
NEU100              159    334   47.6%
DRK030              429    904   47.5%
NEU083              160    347   46.1%
DRK033              137    315   43.5%
NEU090              120    289   41.5%

-- TALA --
Card               Wins  Plays      WR
TAL026              428    580   73.8%
NEU077              185    251   73.7%
TAL039              219    299   73.2%
NEU076              184    254   72.4%
TAL029              412    583   70.7%
...
TAL018              671   1565   42.9%
NEU092              336    803   41.8%
NEU100              324    809   40.0%
NEU065              291    746   39.0%
NEU090              291    802   36.3%

-- JIMMY --
Card               Wins  Plays      WR
JIM032              124    173   71.7%
NEU077              175    251   69.7%
NEU066              252    365   69.0%
JIM022              210    316   66.5%
NEU085              148    224   66.1%
...
NEU111              168    400   42.0%
NEU069              325    789   41.2%
NEU083              184    448   41.1%
NEU090              166    412   40.3%
NEU065              146    401   36.4%

-- ANDERS --
Card               Wins  Plays      WR
AND036              248    391   63.4%
AND040              225    358   62.8%
AND032              380    612   62.1%
NEU077              166    271   61.3%
NEU087              177    290   61.0%
...
NEU092              232    767   30.2%
NEU100              251    876   28.7%
AND039              140    496   28.2%
NEU065              238    923   25.8%
NEU090              195    763   25.6%

-- DES --
Card               Wins  Plays      WR
DES_COLLAR_03       332    400   83.0%
NEU099              233    290   80.3%
DES038              218    303   71.9%
DES022              514    731   70.3%
NEU097              241    345   69.9%
...
NEU092              176    487   36.1%
NEU089              161    470   34.3%
NEU090              171    506   33.8%
NEU065              164    497   33.0%
NEU100              166    506   32.8%

-- ASTRID --
Card               Wins  Plays      WR
NEU066              196    332   59.0%
AST041              192    326   58.9%
AST031              457    776   58.9%
NEU077              126    217   58.1%
NEU076              137    237   57.8%
...
AST024              133    416   32.0%
NEU090              247    795   31.1%
AST_S02             402   1308   30.7%
NEU065              242    798   30.3%
NEU111              123    408   30.1%

-- AVA --
Card               Wins  Plays      WR
AVA038              365    513   71.2%
NEU066              395    567   69.7%
NEU102               76    110   69.1%
NEU103               68    100   68.0%
AVA021              740   1090   67.9%
...
NEU111              344    690   49.9%
NEU069              310    628   49.4%
NEU065              327    671   48.7%
NEU092              313    646   48.5%
NEU100              306    638   48.0%

-- LUCAS --
Card               Wins  Plays      WR
NEU076              154    240   64.2%
NEU099               69    108   63.9%
NEU066              182    287   63.4%
NEU073              125    199   62.8%
NEU091              145    233   62.2%
...
NEU100              125    355   35.2%
LUC_ORB_WATER       290    855   33.9%
NEU083              123    378   32.5%
NEU090              109    359   30.4%
LUC049              100    331   30.2%

-- IZZY --
Card               Wins  Plays      WR
NEU077              199    268   74.3%
IZZ043              147    198   74.2%
IZZ042              149    202   73.8%
NEU097              165    224   73.7%
NEU085              223    304   73.4%
...
NEU079              303    572   53.0%
NEU078              289    546   52.9%
NEU100              504    968   52.1%
NEU065              481    950   50.6%
NEU090              489    984   49.7%
