
=== Balance audit: 20,000 games (0 skipped) ===

Hero          Wins  Losses   Games       WR
ANDERS        1999    2556    4555    43.9%
DES           2036    2482    4518    45.1%
ASTRID        2038    2341    4379    46.5%
LUCAS         2103    2400    4503    46.7%
AVA           2118    2347    4465    47.4%
JIMMY         2169    2222    4391    49.4%
TALA          2289    2111    4400    52.0%
IZZY          2570    1845    4415    58.2%
DEREK         2678    1696    4374    61.2%

=== Matchup matrix — row wins vs col (row WR%) ===

            DER   TAL   JIM   AND   DES   AST   AVA   LUC   IZZ
DEREK        50    60    70    69    62    62    60    63    55
TALA         40    50    56    58    53    48    59    59    44
JIMMY        30    44    50    58    59    58    51    53    41
ANDERS       31    42    42    50    45    50    48    53    34
DES          38    47    41    55    50    46    49    38    42
ASTRID       38    52    42    50    54    50    44    51    36
AVA          40    41    49    52    51    56    50    48    40
LUCAS        37    41    47    47    62    49    52    50    34
IZZY         45    56    59    66    58    64    60    66    50

=== Worst matchups (WR >=70% or <=30%, min 50 games) ===

  DEREK      vs JIMMY     :  334/474   (70.5%)
  JIMMY      vs DEREK     :  140/474   (29.5%)

=== Per-card winrate (20,000 games w/ card manifest) ===


-- DEREK --
Card               Wins  Plays      WR
DRK032              223    284   78.5%
DRK060              359    481   74.6%
NEU099              326    438   74.4%
DRK029              735   1026   71.6%
DRK019              433    608   71.2%
...
NEU111              194    403   48.1%
DRK030              550   1145   48.0%
NEU083              216    464   46.6%
DRK033              197    426   46.2%
NEU065              172    382   45.0%

-- TALA --
Card               Wins  Plays      WR
TAL037              104    138   75.4%
TAL026              478    659   72.5%
NEU101              247    350   70.6%
NEU109              108    154   70.1%
NEU066              345    496   69.6%
...
TAL033              818   1953   41.9%
NEU092              443   1088   40.7%
NEU100              458   1149   39.9%
NEU065              364    992   36.7%
NEU090              413   1129   36.6%

-- JIMMY --
Card               Wins  Plays      WR
JIM032              169    243   69.5%
JIM022              264    400   66.0%
NEU077              210    320   65.6%
NEU076              190    292   65.1%
NEU073              169    264   64.0%
...
NEU111              221    556   39.7%
NEU083              230    579   39.7%
NEU065              212    544   39.0%
NEU069              392   1009   38.9%
NEU090              208    566   36.7%

-- ANDERS --
Card               Wins  Plays      WR
AND040              365    502   72.7%
NEU073              194    278   69.8%
AND032              530    817   64.9%
NEU077              250    393   63.6%
NEU097              169    267   63.3%
...
AND039              206    586   35.2%
NEU092              351   1026   34.2%
NEU100              344   1199   28.7%
NEU090              306   1067   28.7%
NEU065              322   1190   27.1%

-- DES --
Card               Wins  Plays      WR
DES_COLLAR_03       422    506   83.4%
NEU099              291    367   79.3%
DES031              227    299   75.9%
NEU097              324    434   74.7%
DES038              249    339   73.5%
...
NEU089              322    732   44.0%
NEU100              315    718   43.9%
NEU092              275    641   42.9%
NEU065              277    685   40.4%
NEU090              264    658   40.1%

-- ASTRID --
Card               Wins  Plays      WR
AST041              274    393   69.7%
AST031              666   1020   65.3%
NEU073              151    235   64.3%
NEU077              184    290   63.4%
NEU066              282    457   61.7%
...
NEU065              395   1043   37.9%
NEU089              202    538   37.5%
NEU090              399   1073   37.2%
AST030              514   1414   36.4%
NEU083              200    564   35.5%

-- AVA --
Card               Wins  Plays      WR
NEU102              100    142   70.4%
NEU103               77    110   70.0%
AVA038              454    674   67.4%
NEU066              470    720   65.3%
NEU109              128    206   62.1%
...
NEU083              361    920   39.2%
NEU089              327    840   38.9%
NEU100              323    838   38.5%
NEU092              323    840   38.5%
NEU065              314    846   37.1%

-- LUCAS --
Card               Wins  Plays      WR
NEU099               91    143   63.6%
LUC044              264    415   63.6%
NEU063              169    266   63.5%
NEU097              145    232   62.5%
NEU077              186    300   62.0%
...
NEU065              303    905   33.5%
LUC049              146    443   33.0%
NEU100              136    421   32.3%
NEU083              168    523   32.1%
LUC_ORB_WATER       377   1175   32.1%

-- IZZY --
Card               Wins  Plays      WR
NEU102               92    117   78.6%
IZZ043              204    263   77.6%
NEU076              291    380   76.6%
IZZ040              336    446   75.3%
NEU073              225    305   73.8%
...
NEU092              331    661   50.1%
NEU100              620   1239   50.0%
NEU083              359    721   49.8%
NEU090              630   1266   49.8%
NEU065              595   1227   48.5%
