
=== Balance audit: 20,000 games (0 skipped) ===

Hero          Wins  Losses   Games       WR
ANDERS        1924    2546    4470    43.0%
DES           1968    2563    4531    43.4%
AVA           2067    2334    4401    47.0%
ASTRID        2060    2291    4351    47.3%
LUCAS         2196    2302    4498    48.8%
JIMMY         2213    2287    4500    49.2%
TALA          2278    2050    4328    52.6%
IZZY          2557    1815    4372    58.5%
DEREK         2737    1812    4549    60.2%

=== Matchup matrix — row wins vs col (row WR%) ===

            DER   TAL   JIM   AND   DES   AST   AVA   LUC   IZZ
DEREK        50    61    61    67    63    62    60    62    55
TALA         39    50    55    63    53    55    59    54    46
JIMMY        39    45    50    56    62    55    50    47    40
ANDERS       33    37    44    50    44    47    47    54    32
DES          37    47    38    56    50    44    48    34    37
ASTRID       38    45    45    53    56    50    50    52    38
AVA          40    41    50    53    52    50    50    48    36
LUCAS        38    46    53    46    66    48    52    50    41
IZZY         45    54    60    68    63    62    64    59    50

=== Worst matchups (WR >=70% or <=30%, min 50 games) ===


=== Per-card winrate (20,000 games w/ card manifest) ===


-- DEREK --
Card               Wins  Plays      WR
DRK032              250    315   79.4%
NEU076              199    264   75.4%
DRK019              431    592   72.8%
NEU097              140    193   72.5%
NEU099              338    466   72.5%
...
DRK035              538   1128   47.7%
NEU100              181    381   47.5%
NEU111              189    409   46.2%
NEU090              180    404   44.6%
NEU065              179    414   43.2%

-- TALA --
Card               Wins  Plays      WR
TAL037               90    115   78.3%
NEU073              195    267   73.0%
TAL039              331    455   72.7%
NEU076              257    359   71.6%
NEU077              225    315   71.4%
...
NEU083              289    675   42.8%
NEU100              445   1046   42.5%
NEU092              452   1069   42.3%
NEU065              384    936   41.0%
NEU090              417   1082   38.5%

-- JIMMY --
Card               Wins  Plays      WR
JIM032              166    245   67.8%
NEU077              201    298   67.4%
NEU066              293    448   65.4%
JIM030              142    219   64.8%
NEU063              166    258   64.3%
...
JIM038              754   1825   41.3%
NEU083              239    600   39.8%
NEU069              412   1055   39.1%
NEU065              212    577   36.7%
NEU090              203    557   36.4%

-- ANDERS --
Card               Wins  Plays      WR
AND040              352    493   71.4%
NEU077              237    342   69.3%
AND036              300    461   65.1%
AND032              493    761   64.8%
NEU097              173    285   60.7%
...
NEU078              356   1040   34.2%
NEU092              312    933   33.4%
NEU100              346   1098   31.5%
NEU090              257    949   27.1%
NEU065              297   1120   26.5%

-- DES --
Card               Wins  Plays      WR
DES_COLLAR_03       411    494   83.2%
NEU099              338    411   82.2%
DES031              223    294   75.9%
NEU097              336    447   75.2%
DES022              716    980   73.1%
...
NEU065              232    577   40.2%
NEU089              228    589   38.7%
NEU100              230    598   38.5%
NEU092              217    585   37.1%
NEU090              215    595   36.1%

-- ASTRID --
Card               Wins  Plays      WR
AST041              311    427   72.8%
NEU076              207    303   68.3%
AST031              625    946   66.1%
NEU077              184    282   65.2%
NEU087              191    307   62.2%
...
NEU111              193    519   37.2%
AST035              497   1345   37.0%
NEU065              374   1020   36.7%
NEU083              187    530   35.3%
NEU090              337    987   34.1%

-- AVA --
Card               Wins  Plays      WR
AVA038              442    683   64.7%
NEU102               83    132   62.9%
AVA021              822   1341   61.3%
NEU066              397    657   60.4%
NEU103               65    109   59.6%
...
NEU092              365    892   40.9%
NEU089              348    864   40.3%
NEU083              364    940   38.7%
NEU100              331    882   37.5%
NEU065              295    830   35.5%

-- LUCAS --
Card               Wins  Plays      WR
LUC044              297    447   66.4%
NEU073              150    230   65.2%
NEU066              280    431   65.0%
NEU099               84    133   63.2%
NEU076              188    299   62.9%
...
LUC_ORB_WATER       401   1106   36.3%
NEU111              153    426   35.9%
LUC_ORB_HEALING     417   1168   35.7%
LUC049              161    453   35.5%
NEU090              155    478   32.4%

-- IZZY --
Card               Wins  Plays      WR
IZZ040              340    448   75.9%
IZZ043              199    263   75.7%
NEU087              270    372   72.6%
IZZ042              168    233   72.1%
NEU101              273    379   72.0%
...
NEU100              647   1223   52.9%
NEU079              365    706   51.7%
NEU090              603   1203   50.1%
NEU083              341    691   49.3%
NEU065              616   1256   49.0%
